Aikaleima;Vapaavalintainen anonyymi tunniste ;;Kysymys;;;;;;;;;
1.6.2020;1500;4;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
3.6.2020;7469;3;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;7968;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;9253;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
1.6.2020;21084;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
2.6.2020;34725;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;123098;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;145789;4;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;222426;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;290520;4;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;369369;4;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;2905202010;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
1.6.2020;029;3;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
31.5.2020;0682;5;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
29.5.2020;0907;2;Elamassani on ihmisia, jotka osoittavat valittavansa minusta.;;;;;;;;;
1.6.2020;1500;3;Selvian arkielaman haasteista.;;;;;;;;;
3.6.2020;7469;4;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;7968;4;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;9253;4;Selvian arkielaman haasteista.;;;;;;;;;
1.6.2020;21084;3;Selvian arkielaman haasteista.;;;;;;;;;
2.6.2020;34725;4;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;123098;4;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;145789;3;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;222426;5;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;290520;4;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;369369;3;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;2905202010;4;Selvian arkielaman haasteista.;;;;;;;;;
1.6.2020;029;4;Selvian arkielaman haasteista.;;;;;;;;;
31.5.2020;0682;5;Selvian arkielaman haasteista.;;;;;;;;;
29.5.2020;0907;2;Selvian arkielaman haasteista.;;;;;;;;;
1.6.2020;1500;2;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
3.6.2020;7469;3;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;7968;1;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;9253;4;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;21084;2;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
2.6.2020;34725;3;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;123098;2;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;145789;2;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;222426;4;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
2.6.2020;290520;3;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;369369;2;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;2905202010;2;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;029;2;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
31.5.2020;0682;3;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
2.6.2020;0907;4;Taman hetkisessa arjessani koen turvattomuutta.;;;;;;;;;
1.6.2020;1500;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
3.6.2020;7469;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;7968;3;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;9253;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;21084;2;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
2.6.2020;34725;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;123098;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;145789;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;222426;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
2.6.2020;290520;2;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;369369;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;2905202010;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
1.6.2020;029;3;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
31.5.2020;0682;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
2.6.2020;0907;4;Soimaan itseani mokista tarpeettomasti.;;;;;;;;;
2.6.2020;1500;4;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;7968;3;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;9253;1;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;21084;2;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;34725;3;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;123098;1;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;145789;2;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;222426;2;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
3.6.2020;290520;2;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;369369;3;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;2905202010;3;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;029;2;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;0907;1;Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.;;;;;;;;;
2.6.2020;1500;4;Pelkaan, etta en ole riittavan hyva.;;;;;;;;;
2.6.2020;7968;2;Pelkaan, etta en ole riittavan hyva.;;;;;;;;;
2.6.2020;9253;5;Pelkaan, etta en ole riittavan hyva.;;;;;;;;;
2.6.2020;21084;3;Pelkaan, etta en ole riittavan hyva.;;;;;;;;;
